timestamp,date,octane,refuel_L,price,km,percent_highway,station,price_e10,price_91,price_95,price_98,notes,eff
,2016-01-25T00:00:00Z,,14.4,,253.3,20,Puma,,,,,,0.0568495854717726
,2016-02-08T00:00:00Z,95,15,,265.5,20,Caltex,,,,,,0.0564971751412429
,2016-03-14T00:00:00Z,95,14.92,,249,20,Bp,,,,,,0.0599196787148594
,2016-04-22T00:00:00Z,98,15.61,,287.9,20,Bp,,,,,,0.054220215352553
,2016-05-16T00:00:00Z,98,15.31,131.9,262.5,20,Bp,,,,,,0.0583238095238095
,2016-05-24T00:00:00Z,91,12.08,128.9,216.3,20,Mobil,,,,,,0.0558483587609801
,2016-06-06T00:00:00Z,98,14.73,133.9,250.7,20,Puma,,,,,,0.0587554846429996
,2016-06-21T00:00:00Z,94,16.26,134.9,288.6,20,Bp,,,,,,0.0563409563409563
,2016-07-01T00:00:00Z,95,11.13,134.9,198.1,20,Mobil,,,,,,0.0561837455830389
,2016-07-11T00:00:00Z,94,12.46,112.9,202.6,20,Bp,,,,,,0.0615004935834156
,2016-08-09T00:00:00Z,91,14.58,,224.7,20,Bp,,,,,,0.0648865153538051
,,91,11.64,109.9,201.6,20,Bp,,,,,,0.0577380952380952
,2016-09-19T00:00:00Z,91,14.42,106.9,236.9,20,Bp,,,,,,0.0608695652173913
,2016-10-07T00:00:00Z,91,14.46,117.5,241.4,20,Bp,,,,,,0.05990057995029
,2016-10-28T00:00:00Z,91,13.33,129.9,212,20,Bp,,,,,,0.062877358490566
,2016-11-15T00:00:00Z,91,13.81,118.9,233.4,20,Mobil,,,,,,0.0591688089117395
,2016-11-24T00:00:00Z,91,11.15,133.9,181.4,20,Bp,,,,,,0.0614663726571114
,2017-01-10T00:00:00Z,91,13.85,127.9,210.5,20,Bp,,,,,,0.0657957244655582
,2017-01-31T00:00:00Z,98,12.97,144.9,237.9,20,Mobil,,,,,,0.0545187053383775
,2017-02-16T00:00:00Z,91,13.6,137.9,228.8,20,Bp,,,,,,0.0594405594405594
,2017-02-20T00:00:00Z,98,12.35,141.9,363.3,80,Caltex,,,,,,0.0339939443985687
,2017-03-01T00:00:00Z,91,14.27,139.9,259.5,20,Mobil,,,,,,0.054990366088632
,2017-03-14T00:00:00Z,94,12.89,121.9,228.9,20,Bp,,,,,,0.0563128003494976
,2017-04-04T00:00:00Z,98,14.23,132.9,250.3,20,Mobil,,,,,,0.0568517778665601
,2017-04-27T00:00:00Z,94,15.16,116.9,259.9,20,Bp,,,,,,0.0583301269719123
,2017-05-11T00:00:00Z,91,13.45,112.9,230.1,20,Mobil,,,,,,0.0584528465884398
,2017-05-22T00:00:00Z,94,12.09,127.9,198.8,20,Mobil,,,,,,0.0608148893360161
,2017-06-02T00:00:00Z,94,14.9,115.9,249.6,20,Mobil,,,,,,0.0596955128205128
,2017-06-16T00:00:00Z,98,14.46,128.9,254.4,20,Mobil,,,,,,0.0568396226415094
,2017-06-29T00:00:00Z,94,14.41,137.4,246.3,20,Mobil,,,,,,0.0585058871295168
,2017-07-11T00:00:00Z,98,10.58,138.9,191.7,20,Mobil,,,,,,0.0551904016692749
,2017-07-26T00:00:00Z,98,14.63,124.9,245.5,20,Bp,,,,,tyres inflated,0.0595926680244399
,2017-08-07T00:00:00Z,91,13.67,131.9,239.5,20,Mobil,,,,,,0.0570772442588727
,2017-09-18T00:00:00Z,94,13.4,116.4,210.7,20,Mobil,,,,,,0.0635975320360702
,2017-09-29T00:00:00Z,91,13.66,112.9,221,20,Bp,,,,,,0.0618099547511312
,2017-10-11T00:00:00Z,91,14.86,142.9,249.2,20,Mobil,,,,,,0.0596308186195827
,2017-10-20T00:00:00Z,98,11.23,142.9,,20,Mobil,,,,,,
,2017-11-01T00:00:00Z,98,15.24,135.3,270,20,Mobil,,,,,,0.0564444444444444
,2017-11-10T00:00:00Z,91,13.31,,221.9,20,Mobil,,,,,,0.0599819738621001
,2017-11-22T00:00:00Z,91,16.26,123.7,268.7,20,Bp,,,,,,0.0605135839225903
,2017-12-01T00:00:00Z,98,13.56,167.9,244.6,20,Mobil,,,,,,0.055437448896157
,2017-12-18T00:00:00Z,94,14.49,134.9,242.8,20,Bp,,,,,,0.0596787479406919
,2018-01-05T00:00:00Z,91,12.75,149.9,226.1,20,Mobil,,,,,,0.056390977443609
,2018-01-18T00:00:00Z,94,12.06,135.7,193.5,20,Mobil,,,,,,0.0623255813953488
,2018-01-31T00:00:00Z,94,15.14,120.9,259.7,20,Mobil,,,,,,0.0582980361956103
,2018-02-13T00:00:00Z,94,13.2,135.9,219.7,20,Mobil,,,,,,0.0600819299044151
,2018-02-28T00:00:00Z,98,13.8,142.5,234.1,20,Mobil,,,,,,0.0589491670226399
,2018-03-15T00:00:00Z,94,12.37,146.4,210.9,20,Mobil,,,,,,0.0586533902323376
,2018-03-28T00:00:00Z,94,13.221,121.9,220.5,20,NULL,,,,,,0.0599591836734694
,2018-04-09T00:00:00Z,94,10.22,147.9,170.1,20,Mobil,,,,,,0.060082304526749
,2018-04-20T00:00:00Z,91,14.65,139.7,254.7,20,NULL,,,,,,0.0575186493914409
,2018-05-02T00:00:00Z,91,15.05,,249.9,20,Bp,,,,,,0.0602240896358543
,2016-05-17T00:00:00Z,98,15.13,172.9,256.8,20,Bp,,,,,,0.0589174454828661
,2018-06-06T00:00:00Z,91,15.32,141.9,259.1,20,Mobil,,,,,,0.0591277499035122
